Personas: 2068
* Beto (-450/H)
* Ana (-455/M)
* Beto (-456/H)
* Ana (-461/M)
* Beto (-462/H)
* Ana (-467/M)
* Beto (-468/H)
* Ana (-473/M)
* Beto (-473/H)
* Ana (-478/M)
* Beto (-479/H)
* Ana (-484/M)
* Beto (-485/H)
* Ana (-490/M)
* Beto (-491/H)
* Ana (-496/M)
* Beto (-496/H)
* Ana (-501/M)
* Beto (-502/H)
* Ana (-507/M)
* Beto (-508/H)
* Ana (-513/M)
* Beto (-514/H)
* Ana (-519/M)
* Beto (-519/H)
* Ana (-524/M)
* Beto (-525/H)
* Ana (-530/M)
* Beto (-531/H)
* Ana (-536/M)
* Beto (-537/H)
* Ana (-542/M)
* Beto (-542/H)
* Ana (-547/M)
* Beto (-548/H)
* Ana (-553/M)
* Beto (-554/H)
* Ana (-559/M)
* Beto (-560/H)
* Ana (-565/M)
* Beto (-565/H)
* Ana (-570/M)
* Beto (-571/H)
* Ana (-576/M)
* Beto (-577/H)
* Ana (-582/M)
* Beto (-583/H)
* Ana (-588/M)
* Beto (-588/H)
* Ana (-593/M)
* Beto (-594/H)
* Ana (-599/M)
* Beto (-600/H)
* Ana (-605/M)
* Beto (-606/H)
* Ana (-611/M)
* Beto (-611/H)
* Ana (-616/M)
* Beto (-617/H)
* Ana (-622/M)
* Beto (-623/H)
* Ana (-628/M)
* Beto (-629/H)
* Ana (-634/M)
* Beto (-634/H)
* Ana (-639/M)
* Beto (-640/H)
* Ana (-645/M)
* Beto (-646/H)
* Ana (-651/M)
* Beto (-652/H)
* Ana (-657/M)
* Beto (-657/H)
* Ana (-662/M)
* Beto (-663/H)
* Ana (-668/M)
* Beto (-669/H)
* Ana (-674/M)
* Beto (-675/H)
* Ana (-680/M)
* Beto (-680/H)
* Ana (-685/M)
* Beto (-686/H)
* Ana (-691/M)
* Beto (-692/H)
* Ana (-697/M)
* Beto (-698/H)
* Ana (-703/M)
* Beto (-703/H)
* Ana (-708/M)
* Beto (-709/H)
* Ana (-714/M)
* Beto (-715/H)
* Ana (-720/M)
* Beto (-721/H)
* Ana (-726/M)
* Beto (-726/H)
* Ana (-731/M)
* Beto (-732/H)
* Ana (-737/M)
* Beto (-738/H)
* Ana (-743/M)
* Beto (-744/H)
* Ana (-749/M)
* Beto (-749/H)
* Ana (-754/M)
* Beto (-755/H)
* Ana (-760/M)
* Beto (-761/H)
* Ana (-766/M)
* Beto (-767/H)
* Ana (-772/M)
* Beto (-772/H)
* Ana (-777/M)
* Beto (-778/H)
* Ana (-783/M)
* Beto (-784/H)
* Ana (-789/M)
* Beto (-790/H)
* Ana (-795/M)
* Beto (-795/H)
* Ana (-800/M)
* Beto (-801/H)
* Ana (-806/M)
* Beto (-807/H)
* Ana (-812/M)
* Beto (-813/H)
* Ana (-818/M)
* Beto (-818/H)
* Ana (-823/M)
* Beto (-824/H)
* Ana (-829/M)
* Beto (-830/H)
* Ana (-835/M)
* Beto (-836/H)
* Ana (-841/M)
* Beto (-841/H)
* Ana (-846/M)
* Beto (-847/H)
* Ana (-852/M)
* Beto (-853/H)
* Ana (-858/M)
* Beto (-859/H)
* Ana (-864/M)
* Beto (-864/H)
* Ana (-869/M)
* Beto (-870/H)
* Ana (-875/M)
* Beto (-876/H)
* Ana (-881/M)
* Beto (-882/H)
* Ana (-887/M)
* Beto (-887/H)
* Ana (-892/M)
* Beto (-893/H)
* Ana (-898/M)
* Beto (-899/H)
* Ana (-904/M)
* Beto (-905/H)
* Ana (-910/M)
* Beto (-910/H)
* Ana (-915/M)
* Beto (-916/H)
* Ana (-921/M)
* Beto (-922/H)
* Ana (-927/M)
* Beto (-928/H)
* Ana (-933/M)
* Beto (-933/H)
* Ana (-938/M)
* Beto (-939/H)
* Ana (-944/M)
* Beto (-945/H)
* Ana (-950/M)
* Beto (-951/H)
* Ana (-956/M)
* Beto (-956/H)
* Ana (-961/M)
* Beto (-962/H)
* Ana (-967/M)
* Beto (-968/H)
* Ana (-973/M)
* Beto (-974/H)
* Ana (-979/M)
* Beto (-979/H)
* Ana (-984/M)
* Beto (-985/H)
* Ana (-990/M)
* Beto (-991/H)
* Ana (-996/M)
* Beto (-997/H)
* Ana (-1002/M)
* Beto (-1002/H)
* Ana (-1007/M)
* Beto (-1008/H)
* Ana (-1013/M)
* Beto (-1014/H)
* Ana (-1019/M)
* Beto (-1020/H)
* Ana (-1025/M)
* Beto (-1025/H)
* Ana (-1030/M)
* Beto (-1031/H)
* Ana (-1036/M)
* Beto (-1037/H)
* Ana (-1042/M)
* Beto (-1043/H)
* Ana (-1048/M)
* Beto (-1048/H)
* Ana (-1053/M)
* Beto (-1054/H)
* Ana (-1059/M)
* Beto (-1060/H)
* Ana (-1065/M)
* Beto (-1066/H)
* Ana (-1071/M)
* Beto (-1071/H)
* Ana (-1076/M)
* Beto (-1077/H)
* Ana (-1082/M)
* Beto (-1083/H)
* Ana (-1088/M)
* Beto (-1089/H)
* Ana (-1094/M)
* Beto (-1094/H)
* Ana (-1099/M)
* Beto (-1100/H)
* Ana (-1105/M)
* Beto (-1106/H)
* Ana (-1111/M)
* Beto (-1112/H)
* Ana (-1117/M)
* Beto (-1117/H)
* Ana (-1122/M)
* Beto (-1123/H)
* Ana (-1128/M)
* Beto (-1129/H)
* Ana (-1134/M)
* Beto (-1135/H)
* Ana (-1140/M)
* Beto (-1140/H)
* Ana (-1145/M)
* Beto (-1146/H)
* Ana (-1151/M)
* Beto (-1152/H)
* Ana (-1157/M)
* Beto (-1158/H)
* Ana (-1163/M)
* Beto (-1163/H)
* Ana (-1168/M)
* Beto (-1169/H)
* Ana (-1174/M)
* Beto (-1175/H)
* Ana (-1180/M)
* Beto (-1181/H)
* Ana (-1186/M)
* Beto (-1186/H)
* Ana (-1191/M)
* Beto (-1192/H)
* Ana (-1197/M)
* Beto (-1198/H)
* Ana (-1203/M)
* Beto (-1204/H)
* Ana (-1209/M)
* Beto (-1209/H)
* Ana (-1214/M)
* Beto (-1215/H)
* Ana (-1220/M)
* Beto (-1221/H)
* Ana (-1226/M)
* Beto (-1227/H)
* Ana (-1232/M)
* Beto (-1232/H)
* Ana (-1237/M)
* Beto (-1238/H)
* Ana (-1243/M)
* Beto (-1244/H)
* Ana (-1249/M)
* Beto (-1250/H)
* Ana (-1255/M)
* Beto (-1255/H)
* Ana (-1260/M)
* Beto (-1261/H)
* Ana (-1266/M)
* Beto (-1267/H)
* Ana (-1272/M)
* Beto (-1273/H)
* Ana (-1278/M)
* Beto (-1278/H)
* Ana (-1283/M)
* Beto (-1284/H)
* Ana (-1289/M)
* Beto (-1290/H)
* Ana (-1295/M)
* Beto (-1296/H)
* Ana (-1301/M)
* Beto (-1301/H)
* Ana (-1306/M)
* Beto (-1307/H)
* Ana (-1312/M)
* Beto (-1313/H)
* Ana (-1318/M)
* Beto (-1319/H)
* Ana (-1324/M)
* Beto (-1324/H)
* Ana (-1329/M)
* Beto (-1330/H)
* Ana (-1335/M)
* Beto (-1336/H)
* Ana (-1341/M)
* Beto (-1342/H)
* Ana (-1347/M)
* Beto (-1347/H)
* Ana (-1352/M)
* Beto (-1353/H)
* Ana (-1358/M)
* Beto (-1359/H)
* Ana (-1364/M)
* Beto (-1365/H)
* Ana (-1370/M)
* Beto (-1370/H)
* Ana (-1375/M)
* Beto (-1376/H)
* Ana (-1381/M)
* Beto (-1382/H)
* Ana (-1387/M)
* Beto (-1388/H)
* Ana (-1393/M)
* Beto (-1393/H)
* Ana (-1398/M)
* Beto (-1399/H)
* Ana (-1404/M)
* Beto (-1405/H)
* Ana (-1410/M)
* Beto (-1411/H)
* Ana (-1416/M)
* Beto (-1416/H)
* Ana (-1421/M)
* Beto (-1422/H)
* Ana (-1427/M)
* Beto (-1428/H)
* Ana (-1433/M)
* Beto (-1434/H)
* Ana (-1439/M)
* Beto (-1439/H)
* Ana (-1444/M)
* Beto (-1445/H)
* Ana (-1450/M)
* Beto (-1451/H)
* Ana (-1456/M)
* Beto (-1457/H)
* Ana (-1462/M)
* Beto (-1462/H)
* Ana (-1467/M)
* Beto (-1468/H)
* Ana (-1473/M)
* Beto (-1474/H)
* Ana (-1479/M)
* Beto (-1480/H)
* Ana (-1485/M)
* Beto (-1485/H)
* Ana (-1490/M)
* Beto (-1491/H)
* Ana (-1496/M)
* Beto (-1497/H)
* Ana (-1502/M)
* Beto (-1503/H)
* Ana (-1508/M)
* Beto (-1508/H)
* Ana (-1513/M)
* Beto (-1514/H)
* Ana (-1519/M)
* Beto (-1520/H)
* Ana (-1525/M)
* Beto (-1526/H)
* Ana (-1531/M)
* Beto (-1531/H)
* Ana (-1536/M)
* Beto (-1537/H)
* Ana (-1542/M)
* Beto (-1543/H)
* Ana (-1548/M)
* Beto (-1549/H)
* Ana (-1554/M)
* Beto (-1554/H)
* Ana (-1559/M)
* Beto (-1560/H)
* Ana (-1565/M)
* Beto (-1566/H)
* Ana (-1571/M)
* Beto (-1572/H)
* Ana (-1577/M)
* Beto (-1577/H)
* Ana (-1582/M)
* Beto (-1583/H)
* Ana (-1588/M)
* Beto (-1589/H)
* Ana (-1594/M)
* Beto (-1595/H)
* Ana (-1600/M)
* Beto (-1600/H)
* Ana (-1605/M)
* Beto (-1606/H)
* Ana (-1611/M)
* Beto (-1612/H)
* Ana (-1617/M)
* Beto (-1618/H)
* Ana (-1623/M)
* Beto (-1623/H)
* Ana (-1628/M)
* Beto (-1629/H)
* Ana (-1634/M)
* Beto (-1635/H)
* Ana (-1640/M)
* Beto (-1641/H)
* Ana (-1646/M)
* Beto (-1646/H)
* Ana (-1651/M)
* Beto (-1652/H)
* Ana (-1657/M)
* Beto (-1658/H)
* Ana (-1663/M)
* Beto (-1664/H)
* Ana (-1669/M)
* Beto (-1669/H)
* Ana (-1674/M)
* Beto (-1675/H)
----------------------------------------
Preparatoria: 592
* Carla (17/M)
* Daniel (19/H)
* Carla (13/M)
* Daniel (12/H)
* Carla (7/M)
* Daniel (6/H)
* Carla (1/M)
* Daniel (0/H)
* Carla (-4/M)
* Daniel (-4/H)
* Carla (-9/M)
* Daniel (-10/H)
* Carla (-15/M)
* Daniel (-16/H)
* Carla (-21/M)
* Daniel (-22/H)
* Carla (-27/M)
* Daniel (-27/H)
* Carla (-32/M)
* Daniel (-33/H)
* Carla (-38/M)
* Daniel (-39/H)
* Carla (-44/M)
* Daniel (-45/H)
* Carla (-50/M)
* Daniel (-50/H)
* Carla (-55/M)
* Daniel (-56/H)
* Carla (-61/M)
* Daniel (-62/H)
* Carla (-67/M)
* Daniel (-68/H)
* Carla (-73/M)
* Daniel (-73/H)
* Carla (-78/M)
* Daniel (-79/H)
* Carla (-84/M)
* Daniel (-85/H)
* Carla (-90/M)
* Daniel (-91/H)
* Carla (-96/M)
* Daniel (-96/H)
* Carla (-101/M)
* Daniel (-102/H)
* Carla (-107/M)
* Daniel (-108/H)
* Carla (-113/M)
* Daniel (-114/H)
* Carla (-119/M)
* Daniel (-119/H)
* Carla (-124/M)
* Daniel (-125/H)
* Carla (-130/M)
* Daniel (-131/H)
* Carla (-136/M)
* Daniel (-137/H)
* Carla (-142/M)
* Daniel (-142/H)
* Carla (-147/M)
* Daniel (-148/H)
* Carla (-153/M)
* Daniel (-154/H)
* Carla (-159/M)
* Daniel (-160/H)
* Carla (-165/M)
* Daniel (-165/H)
* Carla (-170/M)
* Daniel (-171/H)
* Carla (-176/M)
* Daniel (-177/H)
* Carla (-182/M)
* Daniel (-183/H)
* Carla (-188/M)
* Daniel (-188/H)
* Carla (-193/M)
* Daniel (-194/H)
* Carla (-199/M)
* Daniel (-200/H)
* Carla (-205/M)
* Daniel (-206/H)
* Carla (-211/M)
* Daniel (-211/H)
* Carla (-216/M)
* Daniel (-217/H)
* Carla (-222/M)
* Daniel (-223/H)
* Carla (-228/M)
* Daniel (-229/H)
* Carla (-234/M)
* Daniel (-234/H)
* Carla (-239/M)
* Daniel (-240/H)
* Carla (-245/M)
* Daniel (-246/H)
* Carla (-251/M)
* Daniel (-252/H)
* Carla (-257/M)
* Daniel (-257/H)
* Carla (-262/M)
* Daniel (-263/H)
* Carla (-268/M)
* Daniel (-269/H)
* Carla (-274/M)
* Daniel (-275/H)
* Carla (-280/M)
* Daniel (-280/H)
* Carla (-285/M)
* Daniel (-286/H)
* Carla (-291/M)
* Daniel (-292/H)
* Carla (-297/M)
* Daniel (-298/H)
* Carla (-303/M)
* Daniel (-303/H)
* Carla (-308/M)
* Daniel (-309/H)
* Carla (-314/M)
* Daniel (-315/H)
* Carla (-320/M)
* Daniel (-321/H)
* Carla (-326/M)
* Daniel (-326/H)
* Carla (-331/M)
* Daniel (-332/H)
* Carla (-337/M)
* Daniel (-338/H)
* Carla (-343/M)
* Daniel (-344/H)
* Carla (-349/M)
* Daniel (-349/H)
* Carla (-354/M)
* Daniel (-355/H)
* Carla (-360/M)
* Daniel (-361/H)
* Carla (-366/M)
* Daniel (-367/H)
* Carla (-372/M)
* Daniel (-372/H)
* Carla (-377/M)
* Daniel (-378/H)
* Carla (-383/M)
* Daniel (-384/H)
* Carla (-389/M)
* Daniel (-390/H)
* Carla (-395/M)
* Daniel (-395/H)
* Carla (-400/M)
* Daniel (-401/H)
* Carla (-406/M)
* Daniel (-407/H)
* Carla (-412/M)
* Daniel (-413/H)
* Carla (-418/M)
* Daniel (-418/H)
* Carla (-423/M)
* Daniel (-424/H)
* Carla (-429/M)
* Daniel (-430/H)
* Carla (-435/M)
* Daniel (-436/H)
* Carla (-441/M)
* Daniel (-441/H)
* Carla (-446/M)
* Daniel (-447/H)
* Carla (-452/M)
* Daniel (-453/H)
* Carla (-458/M)
* Daniel (-459/H)
* Carla (-464/M)
* Daniel (-464/H)
* Carla (-469/M)
* Daniel (-470/H)
* Carla (-475/M)
* Daniel (-476/H)
* Carla (-481/M)
* Daniel (-482/H)
* Carla (-487/M)
* Daniel (-487/H)
* Carla (-492/M)
* Daniel (-493/H)
* Carla (-498/M)
* Daniel (-499/H)
* Carla (-504/M)
* Daniel (-505/H)
* Carla (-510/M)
* Daniel (-510/H)
* Carla (-515/M)
* Daniel (-516/H)
* Carla (-521/M)
* Daniel (-522/H)
* Carla (-527/M)
* Daniel (-528/H)
* Carla (-533/M)
* Daniel (-533/H)
* Carla (-538/M)
* Daniel (-539/H)
* Carla (-544/M)
* Daniel (-545/H)
* Carla (-550/M)
* Daniel (-551/H)
* Carla (-556/M)
* Daniel (-556/H)
* Carla (-561/M)
* Daniel (-562/H)
* Carla (-567/M)
* Daniel (-568/H)
* Carla (-573/M)
* Daniel (-574/H)
* Carla (-579/M)
* Daniel (-579/H)
* Carla (-584/M)
* Daniel (-585/H)
* Carla (-590/M)
* Daniel (-591/H)
* Carla (-596/M)
* Daniel (-597/H)
* Carla (-602/M)
* Daniel (-602/H)
* Carla (-607/M)
* Daniel (-608/H)
* Carla (-613/M)
* Daniel (-614/H)
* Carla (-619/M)
* Daniel (-620/H)
* Carla (-625/M)
* Daniel (-625/H)
* Carla (-630/M)
* Daniel (-631/H)
* Carla (-636/M)
* Daniel (-637/H)
* Carla (-642/M)
* Daniel (-643/H)
* Carla (-648/M)
* Daniel (-648/H)
* Carla (-653/M)
* Daniel (-654/H)
* Carla (-659/M)
* Daniel (-660/H)
* Carla (-665/M)
* Daniel (-666/H)
* Carla (-671/M)
* Daniel (-671/H)
* Carla (-676/M)
* Daniel (-677/H)
* Carla (-682/M)
* Daniel (-683/H)
* Carla (-688/M)
* Daniel (-689/H)
* Carla (-694/M)
* Daniel (-694/H)
* Carla (-699/M)
* Daniel (-700/H)
* Carla (-705/M)
* Daniel (-706/H)
* Carla (-711/M)
* Daniel (-712/H)
* Carla (-717/M)
* Daniel (-717/H)
* Carla (-722/M)
* Daniel (-723/H)
* Carla (-728/M)
* Daniel (-729/H)
* Carla (-734/M)
* Daniel (-735/H)
* Carla (-740/M)
* Daniel (-740/H)
* Carla (-745/M)
* Daniel (-746/H)
* Carla (-751/M)
* Daniel (-752/H)
* Carla (-757/M)
* Daniel (-758/H)
* Carla (-763/M)
* Daniel (-763/H)
* Carla (-768/M)
* Daniel (-769/H)
* Carla (-774/M)
* Daniel (-775/H)
* Carla (-780/M)
* Daniel (-781/H)
* Carla (-786/M)
* Daniel (-786/H)
* Carla (-791/M)
* Daniel (-792/H)
* Carla (-797/M)
* Daniel (-798/H)
* Carla (-803/M)
* Daniel (-804/H)
* Carla (-809/M)
* Daniel (-809/H)
* Carla (-814/M)
* Daniel (-815/H)
* Carla (-820/M)
* Daniel (-821/H)
* Carla (-826/M)
* Daniel (-827/H)
* Carla (-832/M)
* Daniel (-832/H)
* Carla (-837/M)
* Daniel (-838/H)
* Carla (-843/M)
* Daniel (-844/H)
* Carla (-849/M)
* Daniel (-850/H)
* Carla (-855/M)
* Daniel (-855/H)
* Carla (-860/M)
* Daniel (-861/H)
* Carla (-866/M)
* Daniel (-867/H)
* Carla (-872/M)
* Daniel (-873/H)
* Carla (-878/M)
* Daniel (-878/H)
* Carla (-883/M)
* Daniel (-884/H)
* Carla (-889/M)
* Daniel (-890/H)
* Carla (-895/M)
* Daniel (-896/H)
* Carla (-901/M)
* Daniel (-901/H)
* Carla (-906/M)
* Daniel (-907/H)
* Carla (-912/M)
* Daniel (-913/H)
* Carla (-918/M)
* Daniel (-919/H)
* Carla (-924/M)
* Daniel (-924/H)
* Carla (-929/M)
* Daniel (-930/H)
* Carla (-935/M)
* Daniel (-936/H)
* Carla (-941/M)
* Daniel (-942/H)
* Carla (-947/M)
* Daniel (-947/H)
* Carla (-952/M)
* Daniel (-953/H)
* Carla (-958/M)
* Daniel (-959/H)
* Carla (-964/M)
* Daniel (-965/H)
* Carla (-970/M)
* Daniel (-970/H)
* Carla (-975/M)
* Daniel (-976/H)
* Carla (-981/M)
* Daniel (-982/H)
* Carla (-987/M)
* Daniel (-988/H)
* Carla (-993/M)
* Daniel (-993/H)
* Carla (-998/M)
* Daniel (-999/H)
* Carla (-1004/M)
* Daniel (-1005/H)
* Carla (-1010/M)
* Daniel (-1011/H)
* Carla (-1016/M)
* Daniel (-1016/H)
* Carla (-1021/M)
* Daniel (-1022/H)
* Carla (-1027/M)
* Daniel (-1028/H)
* Carla (-1033/M)
* Daniel (-1034/H)
* Carla (-1039/M)
* Daniel (-1039/H)
* Carla (-1044/M)
* Daniel (-1045/H)
* Carla (-1050/M)
* Daniel (-1051/H)
* Carla (-1056/M)
* Daniel (-1057/H)
* Carla (-1062/M)
* Daniel (-1062/H)
* Carla (-1067/M)
* Daniel (-1068/H)
* Carla (-1073/M)
* Daniel (-1074/H)
* Carla (-1079/M)
* Daniel (-1080/H)
* Carla (-1085/M)
* Daniel (-1085/H)
* Carla (-1090/M)
* Daniel (-1091/H)
* Carla (-1096/M)
* Daniel (-1097/H)
* Carla (-1102/M)
* Daniel (-1103/H)
* Carla (-1108/M)
* Daniel (-1108/H)
* Carla (-1113/M)
* Daniel (-1114/H)
* Carla (-1119/M)
* Daniel (-1120/H)
* Carla (-1125/M)
* Daniel (-1126/H)
* Carla (-1131/M)
* Daniel (-1131/H)
* Carla (-1136/M)
* Daniel (-1137/H)
* Carla (-1142/M)
* Daniel (-1143/H)
* Carla (-1148/M)
* Daniel (-1149/H)
* Carla (-1154/M)
* Daniel (-1154/H)
* Carla (-1159/M)
* Daniel (-1160/H)
* Carla (-1165/M)
* Daniel (-1166/H)
* Carla (-1171/M)
* Daniel (-1172/H)
* Carla (-1177/M)
* Daniel (-1177/H)
* Carla (-1182/M)
* Daniel (-1183/H)
* Carla (-1188/M)
* Daniel (-1189/H)
* Carla (-1194/M)
* Daniel (-1195/H)
* Carla (-1200/M)
* Daniel (-1200/H)
* Carla (-1205/M)
* Daniel (-1206/H)
* Carla (-1211/M)
* Daniel (-1212/H)
* Carla (-1217/M)
* Daniel (-1218/H)
* Carla (-1223/M)
* Daniel (-1223/H)
* Carla (-1228/M)
* Daniel (-1229/H)
* Carla (-1234/M)
* Daniel (-1235/H)
* Carla (-1240/M)
* Daniel (-1241/H)
* Carla (-1246/M)
* Daniel (-1246/H)
* Carla (-1251/M)
* Daniel (-1252/H)
* Carla (-1257/M)
* Daniel (-1258/H)
* Carla (-1263/M)
* Daniel (-1264/H)
* Carla (-1269/M)
* Daniel (-1269/H)
* Carla (-1274/M)
* Daniel (-1275/H)
* Carla (-1280/M)
* Daniel (-1281/H)
* Carla (-1286/M)
* Daniel (-1287/H)
* Carla (-1292/M)
* Daniel (-1292/H)
* Carla (-1297/M)
* Daniel (-1298/H)
* Carla (-1303/M)
* Daniel (-1304/H)
* Carla (-1309/M)
* Daniel (-1310/H)
* Carla (-1315/M)
* Daniel (-1315/H)
* Carla (-1320/M)
* Daniel (-1321/H)
* Carla (-1326/M)
* Daniel (-1327/H)
* Carla (-1332/M)
* Daniel (-1333/H)
* Carla (-1338/M)
* Daniel (-1338/H)
* Carla (-1343/M)
* Daniel (-1344/H)
* Carla (-1349/M)
* Daniel (-1350/H)
* Carla (-1355/M)
* Daniel (-1356/H)
* Carla (-1361/M)
* Daniel (-1361/H)
* Carla (-1366/M)
* Daniel (-1367/H)
* Carla (-1372/M)
* Daniel (-1373/H)
* Carla (-1378/M)
* Daniel (-1379/H)
* Carla (-1384/M)
* Daniel (-1384/H)
* Carla (-1389/M)
* Daniel (-1390/H)
* Carla (-1395/M)
* Daniel (-1396/H)
* Carla (-1401/M)
* Daniel (-1402/H)
* Carla (-1407/M)
* Daniel (-1407/H)
* Carla (-1412/M)
* Daniel (-1413/H)
* Carla (-1418/M)
* Daniel (-1419/H)
* Carla (-1424/M)
* Daniel (-1425/H)
* Carla (-1430/M)
* Daniel (-1430/H)
* Carla (-1435/M)
* Daniel (-1436/H)
* Carla (-1441/M)
* Daniel (-1442/H)
* Carla (-1447/M)
* Daniel (-1448/H)
* Carla (-1453/M)
* Daniel (-1453/H)
* Carla (-1458/M)
* Daniel (-1459/H)
* Carla (-1464/M)
* Daniel (-1465/H)
* Carla (-1470/M)
* Daniel (-1471/H)
* Carla (-1476/M)
* Daniel (-1476/H)
* Carla (-1481/M)
* Daniel (-1482/H)
* Carla (-1487/M)
* Daniel (-1488/H)
* Carla (-1493/M)
* Daniel (-1494/H)
* Carla (-1499/M)
* Daniel (-1499/H)
* Carla (-1504/M)
* Daniel (-1505/H)
* Carla (-1510/M)
* Daniel (-1511/H)
* Carla (-1516/M)
* Daniel (-1517/H)
* Carla (-1522/M)
* Daniel (-1522/H)
* Carla (-1527/M)
* Daniel (-1528/H)
* Carla (-1533/M)
* Daniel (-1534/H)
* Carla (-1539/M)
* Daniel (-1540/H)
* Carla (-1545/M)
* Daniel (-1545/H)
* Carla (-1550/M)
* Daniel (-1551/H)
* Carla (-1556/M)
* Daniel (-1557/H)
* Carla (-1562/M)
* Daniel (-1563/H)
* Carla (-1568/M)
* Daniel (-1568/H)
* Carla (-1573/M)
* Daniel (-1574/H)
* Carla (-1579/M)
* Daniel (-1580/H)
* Carla (-1585/M)
* Daniel (-1586/H)
* Carla (-1591/M)
* Daniel (-1591/H)
* Carla (-1596/M)
* Daniel (-1597/H)
* Carla (-1602/M)
* Daniel (-1603/H)
* Carla (-1608/M)
* Daniel (-1609/H)
* Carla (-1614/M)
* Daniel (-1614/H)
* Carla (-1619/M)
* Daniel (-1620/H)
* Carla (-1625/M)
* Daniel (-1626/H)
* Carla (-1631/M)
* Daniel (-1632/H)
* Carla (-1637/M)
* Daniel (-1637/H)
* Carla (-1642/M)
* Daniel (-1643/H)
* Carla (-1648/M)
* Daniel (-1649/H)
* Carla (-1654/M)
* Daniel (-1655/H)
* Carla (-1660/M)
* Daniel (-1660/H)
* Carla (-1665/M)
* Daniel (-1666/H)
* Carla (-1671/M)
* Daniel (-1672/H)
* Carla (-1677/M)
* Daniel (-1678/H)
----------------------------------------
Universidad: 886
* Fabian (19/H)
* Erika (21/M)
* Gaby (18/M)
* Fabian (14/H)
* Erika (11/M)
* Gaby (10/M)
* Fabian (8/H)
* Erika (5/M)
* Gaby (4/M)
* Fabian (2/H)
* Erika (0/M)
* Gaby (0/M)
